company_domain,company_id,product_id,product_title,min_current_price,max_current_price,avg_current_price,avg_full_price,avg_discount,sales_volume,sales_volume_upper_bound,sales_volume_lower_bound,sales_revenue,sales_revenue_upper_bound,sales_revenue_lower_bound,rate_sold,sell_through_rate,review_count,avg_rating,key_phrases,colors,matched_variant_count,total_variant_count,product_first_seen,product_url,image_url,
www.aloyoga.com,1004856,7850755621044,Accolade 1/4 Zip Pullover - Black,148,148,148,148,0,,,,,,,,,0,,Oversized fit | Warm fabric | Comfy casual style | Stylish design | Color variety,Black,7,7,2024-12-08,https://www.aloyoga.com/products/u3040rg-accolade-1-4-zip-pullover-black,,
www.aloyoga.com,1004856,6618162626740,Accolade Hoodie - Black,148,148,148,148,0,,,,,,,,,0,,Misleading size | Poor fabric quality | Flimsy and short | Great fit but short length | Logo comes off when washed,Black,6,6,2021-05-23,https://www.aloyoga.com/products/w3550rg-accolade-hoodie-black-mens,,
www.aloyoga.com,1004856,7325031694516,Accolade Straight Leg Sweatpant - Black,138,138,138,138,0,,,,,,,,,0,,Fun style | Love the material | Best sweats | Peeling issue | Beautiful but runs big,Black,7,7,2023-01-18,https://www.aloyoga.com/products/u5012rg-accolade-straight-leg-sweatpant-black,,
www.aloyoga.com,1004856,7900117401780,Accolade Hoodie - Espresso,148,148,148,148,0,,,,,,,,,0,,,Brown,7,7,2024-12-14,https://www.aloyoga.com/products/u3032rg-accolade-hoodie-espresso-mens,,
www.aloyoga.com,1004856,7325031202996,Accolade Crew Neck Pullover - Black,138,138,138,138,0,,,,,,,,,0,,Great fit | Pure comfort | Soft and cozy | Beautiful look | Oversized and cute,Black,7,7,2023-03-11,https://www.aloyoga.com/products/u3031rg-accolade-crew-neck-pullover-black,,
www.aloyoga.com,1004856,7900115009716,Accolade Crew Neck Pullover - Espresso,138,138,138,138,0,,,,,,,,,0,,,Brown,7,7,2024-12-14,https://www.aloyoga.com/products/u3031rg-accolade-crew-neck-pullover-espresso,,
www.aloyoga.com,1004856,7404208914612,Accolade Sweatpant - Navy,138,138,138,138,0,,,,,,,,,0,,Comfortable and soft | Peeling after wash | Poor quality | Love the cherry cola | Way too big,Blue,7,7,2023-10-01,https://www.aloyoga.com/products/u5013rg-accolade-sweatpant-navy,,
www.aloyoga.com,1004856,7256607162548,Traverse Duffle - Black/Silver,398,398,398,398,0,,,,,,,,,0,,Durable and stylish | Great size | Good quality | Handle issue | Perfect for travel,Black,1,1,2022-12-13,https://www.aloyoga.com/products/a0366u-traverse-duffle-black-silver,,
www.aloyoga.com,1004856,7900115271860,7/8 High-Waist Airlift Legging - Espresso,134,134,134,134,0,,,,,,,,,0,,,Brown,6,6,2024-12-14,https://www.aloyoga.com/products/w51314r-7-8-high-waist-airlift-legging-espresso,,
www.aloyoga.com,1004856,6239925862580,Accolade Sweatpant - Black,138,138,138,138,0,,,,,,,,,0,,Comfortable fit | Soft material | New favorite | Stunning | Cozy and oversized,Black,7,7,2021-03-14,https://www.aloyoga.com/products/w5942rg-accolade-sweatpant-black,,
www.aloyoga.com,1004856,7900115763380,Accolade Straight Leg Sweatpant - Espresso,138,138,138,138,0,,,,,,,,,0,,,Brown,7,7,2024-12-14,https://www.aloyoga.com/products/u5012rg-accolade-straight-leg-sweatpant-espresso,,
www.aloyoga.com,1004856,6239918260404,High-Waist Airlift Legging - Black,134,134,134,134,0,,,,,,,,,0,,Flattering and comfortable | Beautiful color | Best leggings | Sweat marks | Soft and great fit,Black,6,6,2021-03-02,https://www.aloyoga.com/products/w5561r-high-waist-airlift-legging-black,,
www.aloyoga.com,1004856,6239911346356,7/8 High-Waist Airbrush Legging - Black,118,118,118,118,0,,,,,,,,,0,,Great quality | Disappointed with material | Not high-waisted | Breathes well | Attracts everything,Black,6,6,2021-03-02,https://www.aloyoga.com/products/w5604r-7-8-high-waist-airbrush-legging-black,,
www.aloyoga.com,1004856,9092806476135,Accolade Crew Neck Pullover - Navy,138,138,138,138,0,,,,,,,,,0,,,Blue,7,7,2025-09-13,https://www.aloyoga.com/products/u3031rg-accolade-crew-neck-pullover-navy-mens,,
www.aloyoga.com,1004856,7410828181684,Accolade Hoodie - Bone,148,148,148,148,0,,,,,,,,,0,,Soft and cozy | Poor quality | Perfect fit | Beautiful color | Disappointing purchase,White,7,7,2023-09-06,https://www.aloyoga.com/products/u3032rg-accolade-hoodie-bone,,
www.aloyoga.com,1004856,6239922061492,7/8 High-Waist Airlift Legging - Black,134,134,134,134,0,,,,,,,,,0,,High quality | Poor fit | Comfortable fabric | Limited functionality | Attractive color,Black,6,6,2021-03-02,https://www.aloyoga.com/products/w5766r-7-8-high-waist-airlift-legging-black,,
www.aloyoga.com,1004856,6565729206452,Match Point Tennis Skirt - Black,78,78,78,78,0,,,,,,,,,0,,Amazing athletic skirt | Super comfortable | Favorite | True to size | Beautiful and functional,Black,5,5,2021-04-13,https://www.aloyoga.com/products/w6240r-match-point-tennis-skirt-black,,
