company_domain,company_id,product_id,product_title,min_current_price,max_current_price,avg_current_price,avg_full_price,avg_discount,sales_volume,sales_volume_upper_bound,sales_volume_lower_bound,sales_revenue,sales_revenue_upper_bound,sales_revenue_lower_bound,rate_sold,sell_through_rate,review_count,avg_rating,key_phrases,colors,matched_variant_count,total_variant_count,product_first_seen,product_url,image_url,
checkout.skims.com,1471648,10246824165729,COTTON FLEECE CLASSIC ZIP UP HOODIE | LIGHT HEATHER GREY,94,94,94,94,0,,,,,,,,,1000,4.89,Soft material | Oversized fit | Cozy design | Flattering style | High quality,Grey,9,9,2025-01-04,https://checkout.skims.com/products/cotton-fleece-classic-zip-up-hoodie-light-heather-grey,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-TP-ZUP-4476-LHG-CLOSED.jpg?v=1735590863,
checkout.skims.com,1471648,6556113174660,Cotton Rib Legging | Light Heather Grey,56,56,56,56,0,,,,,,,,,2342,4.67,Amazing quality | Perfect fit | Super comfy | Soft material | Adorable navy design,Grey,9,9,2021-07-17,https://checkout.skims.com/products/cotton-rib-legging-light-heather-grey,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-AP-LEG-0039-HEG-FL_ba476484-a994-4ef5-a921-235c5ab61801.jpg?v=1709751464,
checkout.skims.com,1471648,10246945833313,COTTON RIB LEGGING | CHAI,56,56,56,56,0,,,,,,,,,2342,4.67,,Brown,9,9,2025-10-05,https://checkout.skims.com/products/cotton-rib-legging-chai,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-AP-LEG-0039-CHA-FLT.jpg?v=1759352885,
checkout.skims.com,1471648,10246823936353,COTTON FLEECE CLASSIC HOODIE | LIGHT HEATHER GREY,88,88,88,88,0,,,,,,,,,39,4.67,soft material | size issues | comfortable fit | high quality | short length,Grey,9,9,2025-01-04,https://checkout.skims.com/products/cotton-fleece-classic-hoodie-light-heather-grey,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-TP-PLO-4475-LHG.jpg?v=1735590743,
checkout.skims.com,1471648,10246824001889,COTTON FLEECE CLASSIC ZIP UP HOODIE | ONYX,94,94,94,94,0,,,,,,,,,1000,4.89,soft and comfortable | stylish design | oversized fit | rich color options | everyday staple,Black,9,9,2025-01-04,https://checkout.skims.com/products/cotton-fleece-classic-zip-up-hoodie-onyx,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-TP-ZUP-4476-ONX-CLOSED.jpg?v=1735590669,
checkout.skims.com,1471648,10246824067425,COTTON FLEECE CLASSIC HOODIE | ONYX,88,88,88,88,0,,,,,,,,,884,4.84,Cozy material | Small head opening | True to size | Warm and comfortable | Essential hoodie,Black,9,9,2025-01-04,https://checkout.skims.com/products/cotton-fleece-classic-hoodie-onyx,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-TP-PLO-4475-ONX.jpg?v=1735590540,
checkout.skims.com,1471648,4196649730180,Cotton Rib Legging | Soot,56,56,56,56,0,,,,,,,,,2342,4.67,Flattering and comfy | Great fit | Absolutely amazing | Loved the color | Soft and cute,Black,9,9,2021-07-17,https://checkout.skims.com/products/cotton-rib-legging-soot,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-AP-LEG-0039-SOT-FL.jpg?v=1709751514,
checkout.skims.com,1471648,4596412809348,Cotton Rib Legging | Kyanite,56,56,56,56,0,,,,,,,,,2342,4.67,Comfortable fit | Silky and breathable | Versatile and stylish | Great for all-day wear | Suitable for casual and dressy occasions,Blue,9,9,2021-07-17,https://checkout.skims.com/products/cotton-rib-legging-kyanite,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-AP-LEG-0039-KYN-FL.jpg?v=1709751428,
checkout.skims.com,1471648,4596412678276,Cotton Rib Legging | Mineral,56,56,56,56,0,,,,,,,,,2342,4.67,Comfortable and versatile | Love the fit | Super cute and true to size | Great everyday leggings | Comfy and high-waisted,Grey,9,9,2021-07-17,https://checkout.skims.com/products/cotton-rib-legging-mineral,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-AP-LEG-0039-MIN-FL.jpg?v=1709751489,
checkout.skims.com,1471648,7054677278852,COTTON RIB LEGGING | NAVY,38,38,38,56,0.3214,,,,,,,,,2342,4.67,Lightweight and curve-hugging | Runs a little large | Super comfy for bedtime | Perfect fit for shorter individuals | Comfortable and versatile,Blue,9,9,2023-03-19,https://checkout.skims.com/products/cotton-rib-legging-navy,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-AP-LEG-0039-NVY-FLT.jpg?v=1740612425,
checkout.skims.com,1471648,10246952026465,COTTON FLEECE CLASSIC HOODIE | BISON,88,88,88,88,0,,,,,,,,,884,4.84,,Brown,9,9,2025-10-05,https://checkout.skims.com/products/cotton-fleece-classic-hoodie-bison,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-PL-PLO-8365W-BSN-FLT.jpg?v=1759352433,
checkout.skims.com,1471648,10246885441889,BOYFRIEND FLEECE OVERSIZED TRENCH COAT | ONYX,248,248,248,248,0,,,,,,,,,22,4.5,,Black,9,9,2025-09-04,https://checkout.skims.com/products/boyfriend-fleece-oversized-trench-coat-onyx,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-LS-LST-8018W-WON.jpg?v=1756513073,
checkout.skims.com,1471648,7130114457732,COZY KNIT UNISEX HOODIE | GREY CHALK MULTI,53,53,53,88,0.3977,,,,,,,,,150,4.82,Soft and cozy | Perfectly oversized | Comfortable and stylish | High-quality material | Keeps you warm,Grey,5,5,2023-11-09,https://checkout.skims.com/products/cozy-knit-unisex-hoodie-grey-chalk-multi,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-TP-PLO-4035-GCK.jpg?v=1699319406,
checkout.skims.com,1471648,10246962708833,FEATHERWEIGHT CASHMERE TURTLENECK | ONYX,178,178,178,178,0,,,,,,,,,0,,,Black,9,9,2025-10-10,https://checkout.skims.com/products/featherweight-cashmere-turtleneck-onyx,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-LS-LST-9917W-ONX-FLT.jpg?v=1759790183,
checkout.skims.com,1471648,4196649697412,Cotton Rib Legging | Bone,28,28,28,56,0.5,,,,,,,,,2342,4.67,comfortable fit | flattering | good quality | size down | loved by customers,White,9,9,2021-07-17,https://checkout.skims.com/products/cotton-rib-legging-bone,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-AP-LEG-0039-BON-FL.jpg?v=1709751354,
checkout.skims.com,1471648,7201678393476,FRENCH TERRY CLASSIC ZIP UP HOODIE | ASH,42,42,42,84,0.5,,,,,,,,,59,4.88,Versatile style | Lightweight warmth | Flattering fit | High-quality material | Multiple color options,Grey,9,9,2024-02-27,https://checkout.skims.com/products/french-terry-classic-zip-up-hoodie-ash,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-TP-ZUP-4905-ASH_f3037393-a939-412c-9d60-ca91c2e20d6a.jpg?v=1708715776,
checkout.skims.com,1471648,7230223745156,SOFT SMOOTHING SEAMLESS LEGGING | ECLIPSE,33,33,33,66,0.5,,,,,,,,,188,4.57,Buttery smooth | Figure-enhancing | Soft comfort | Sizing issue | Game changer,Black,9,9,2024-02-15,https://checkout.skims.com/products/soft-smoothing-seamless-legging-eclipse,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-AP-LEG-2445-ONX_c2c394e7-0380-4a28-84f8-b6a1cc3372e0.jpg?v=1715194679,
checkout.skims.com,1471648,10246881706337,CASHMERE ZIP UP HOODIE | DARK HEATHER GREY,348,348,348,348,0,,,,,,,,,0,,,Grey,9,9,2025-10-01,https://checkout.skims.com/products/cashmere-zip-up-hoodie-dark-heather-grey,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-ZU-ZUP-9911W-DHG-FLT.jpg?v=1757970269,
checkout.skims.com,1471648,7201676492932,OUTDOOR HIGH-WAISTED BANDED LEGGING | ONYX,32,32,32,66,0.5152,,,,,,,,,201,4.78,Cozy fit | High quality | Versatile wear | Warm comfort | Casual chic,Black,9,9,2024-02-27,https://checkout.skims.com/products/outdoor-high-waisted-banded-legging-onyx,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-BO-LEG-3739-ONX.jpg?v=1711501560,
checkout.skims.com,1471648,7087190147204,SOFT SMOOTHING SEAMLESS LEGGING | ONYX,33,33,33,66,0.5,,,,,,,,,188,4.57,smooth and fit | softest leggings | undecided about | amazing fit | game changer,Black,9,9,2023-03-26,https://checkout.skims.com/products/soft-smoothing-seamless-legging-onyx,https://cdn.shopify.com/s/files/1/0259/5448/4284/products/SKIMS-LOUNGEWEAR-AP-LEG-2445-ONX.jpg?v=1679615040,
checkout.skims.com,1471648,10246878200161,FLEECE LOUNGE MENS RELAXED ZIP UP HOODIE | LIGHT HEATHER GREY,98,98,98,98,0,,,,,,,,,43,4.91,Cozy Fit | Soft Material | Stylish Design | Warm Hoodie | Great Quality,Grey,9,9,2025-08-08,https://checkout.skims.com/products/fleece-lounge-mens-relaxed-zip-up-hoodie-light-heather-grey,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-PL-ZUP-5984M-LHG.jpg?v=1754418270,
checkout.skims.com,1471648,7130114523268,COZY KNIT ZIP UP | GREY CHALK MULTI,39,39,39,78,0.5,,,,,,,,,32,4.81,Soft and warm | Cozy sweater | Cute crop jacket | Bad zipper | Perfect fit,Grey,5,5,2023-11-09,https://checkout.skims.com/products/cozy-knit-zip-up-grey-chalk-multi,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-TP-ZUP-4268-GCK.jpg?v=1699318998,
checkout.skims.com,1471648,10246878462305,FLEECE LOUNGE MENS CLASSIC HOODIE | WASHED ONYX,90,90,90,90,0,,,,,,,,,60,4.82,Super soft | Amazing fit | Ultimate comfort | Stylish design | Highly recommended,Grey,9,9,2025-08-08,https://checkout.skims.com/products/fleece-lounge-mens-classic-hoodie-washed-onyx,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-TP-PLO-5425M-ONX.jpg?v=1754418449,
checkout.skims.com,1471648,7240092024964,OUTDOOR HIGH-WAISTED FLARE LEGGING | TAUPE,34,34,34,68,0.5,,,,,,,,,43,4.81,comfortable fit | tall sizes | high quality | good for casual wear | color variation,Brown,9,9,2024-07-23,https://checkout.skims.com/products/outdoor-high-waisted-flare-legging-taupe,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-BO-PAN-6140W-TAU.jpg?v=1721166761,
checkout.skims.com,1471648,10246782320993,NikeSKIMS SHINE V-LINE 26" LEGGING | OBSIDIAN,108,108,108,108,0,,,,,,,,,0,,,Black,9,9,2025-10-01,https://checkout.skims.com/products/nikeskims-shine-v-line-26-inch-legging-obsidian,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-BO-LEG-2715-OBD-FLT.jpg?v=1758231643,
checkout.skims.com,1471648,10246786810209,NikeSKIMS MATTE MOCK NECK FULL ZIP JACKET | OBSIDIAN,98,98,98,98,0,,,,,,,,,3,4.67,,Black,9,9,2025-10-01,https://checkout.skims.com/products/nikeskims-matte-mock-neck-full-zip-jacket-obsidian,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-ZU-ZUP-8315W-OBD-FLT.jpg?v=1758219263,
checkout.skims.com,1471648,7111436501124,OUTDOOR RHINESTONE LEGGING | TAFFY,44,44,44,88,0.5,,,,,,,,,15,4.87,Pretty high-waisted | Skims perfectly | Subtle rhinestone detail | Fun and amazing | Comfy glam,Pink,9,9,2023-07-20,https://checkout.skims.com/products/outdoor-rhinestone-legging-taffy,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-BO-LEG-3532-TFY.jpg?v=1689177568,
checkout.skims.com,1471648,10246878429537,FLEECE LOUNGE MENS CLASSIC HOODIE | LIGHT HEATHER GREY,90,90,90,90,0,,,,,,,,,60,4.82,Soft material | Comfortable fit | Lightweight design | Calming color | Perfect for lounging,Grey,9,9,2025-08-13,https://checkout.skims.com/products/fleece-lounge-mens-classic-hoodie-light-heather-grey,https://cdn.shopify.com/s/files/1/0259/5448/4284/files/SKIMS-LOUNGEWEAR-TP-PLO-5425M-LHG.jpg?v=1754418519,
