Category: All categories

Week,Athleisure: (United States)
2020-10-18,42
2020-10-25,43
2020-11-01,28
2020-11-08,41
2020-11-15,44
2020-11-22,53
2020-11-29,50
2020-12-06,48
2020-12-13,40
2020-12-20,37
2020-12-27,46
2021-01-03,43
2021-01-10,43
2021-01-17,40
2021-01-24,45
2021-01-31,40
2021-02-07,45
2021-02-14,38
2021-02-21,40
2021-02-28,37
2021-03-07,42
2021-03-14,44
2021-03-21,43
2021-03-28,40
2021-04-04,44
2021-04-11,39
2021-04-18,38
2021-04-25,34
2021-05-02,39
2021-05-09,36
2021-05-16,44
2021-05-23,33
2021-05-30,37
2021-06-06,30
2021-06-13,35
2021-06-20,27
2021-06-27,30
2021-07-04,28
2021-07-11,32
2021-07-18,36
2021-07-25,37
2021-08-01,37
2021-08-08,35
2021-08-15,38
2021-08-22,36
2021-08-29,42
2021-09-05,41
2021-09-12,37
2021-09-19,41
2021-09-26,44
2021-10-03,43
2021-10-10,42
2021-10-17,60
2021-10-24,47
2021-10-31,41
2021-11-07,44
2021-11-14,42
2021-11-21,46
2021-11-28,53
2021-12-05,48
2021-12-12,44
2021-12-19,34
2021-12-26,43
2022-01-02,50
2022-01-09,49
2022-01-16,40
2022-01-23,47
2022-01-30,45
2022-02-06,42
2022-02-13,46
2022-02-20,46
2022-02-27,45
2022-03-06,54
2022-03-13,47
2022-03-20,45
2022-03-27,48
2022-04-03,46
2022-04-10,44
2022-04-17,46
2022-04-24,50
2022-05-01,41
2022-05-08,46
2022-05-15,44
2022-05-22,45
2022-05-29,40
2022-06-05,42
2022-06-12,43
2022-06-19,43
2022-06-26,42
2022-07-03,41
2022-07-10,44
2022-07-17,47
2022-07-24,43
2022-07-31,44
2022-08-07,48
2022-08-14,45
2022-08-21,49
2022-08-28,46
2022-09-04,40
2022-09-11,44
2022-09-18,46
2022-09-25,46
2022-10-02,48
2022-10-09,47
2022-10-16,44
2022-10-23,39
2022-10-30,40
2022-11-06,40
2022-11-13,43
2022-11-20,47
2022-11-27,49
2022-12-04,49
2022-12-11,49
2022-12-18,40
2022-12-25,41
2023-01-01,44
2023-01-08,46
2023-01-15,50
2023-01-22,51
2023-01-29,50
2023-02-05,66
2023-02-12,48
2023-02-19,55
2023-02-26,50
2023-03-05,55
2023-03-12,47
2023-03-19,46
2023-03-26,51
2023-04-02,47
2023-04-09,47
2023-04-16,47
2023-04-23,48
2023-04-30,46
2023-05-07,45
2023-05-14,48
2023-05-21,41
2023-05-28,43
2023-06-04,40
2023-06-11,48
2023-06-18,35
2023-06-25,38
2023-07-02,38
2023-07-09,44
2023-07-16,43
2023-07-23,45
2023-07-30,45
2023-08-06,45
2023-08-13,47
2023-08-20,45
2023-08-27,45
2023-09-03,54
2023-09-10,46
2023-09-17,50
2023-09-24,48
2023-10-01,47
2023-10-08,55
2023-10-15,46
2023-10-22,47
2023-10-29,52
2023-11-05,49
2023-11-12,47
2023-11-19,61
2023-11-26,60
2023-12-03,54
2023-12-10,53
2023-12-17,47
2023-12-24,46
2023-12-31,45
2024-01-07,61
2024-01-14,54
2024-01-21,57
2024-01-28,58
2024-02-04,52
2024-02-11,56
2024-02-18,57
2024-02-25,53
2024-03-03,53
2024-03-10,59
2024-03-17,58
2024-03-24,54
2024-03-31,55
2024-04-07,59
2024-04-14,61
2024-04-21,60
2024-04-28,50
2024-05-05,55
2024-05-12,53
2024-05-19,52
2024-05-26,49
2024-06-02,54
2024-06-09,43
2024-06-16,42
2024-06-23,42
2024-06-30,48
2024-07-07,49
2024-07-14,50
2024-07-21,54
2024-07-28,52
2024-08-04,59
2024-08-11,63
2024-08-18,56
2024-08-25,63
2024-09-01,53
2024-09-08,51
2024-09-15,55
2024-09-22,51
2024-09-29,52
2024-10-06,49
2024-10-13,56
2024-10-20,59
2024-10-27,52
2024-11-03,53
2024-11-10,57
2024-11-17,60
2024-11-24,69
2024-12-01,72
2024-12-08,68
2024-12-15,91
2024-12-22,50
2024-12-29,56
2025-01-05,55
2025-01-12,54
2025-01-19,52
2025-01-26,56
2025-02-02,58
2025-02-09,56
2025-02-16,58
2025-02-23,59
2025-03-02,55
2025-03-09,66
2025-03-16,70
2025-03-23,59
2025-03-30,64
2025-04-06,61
2025-04-13,65
2025-04-20,56
2025-04-27,62
2025-05-04,64
2025-05-11,58
2025-05-18,62
2025-05-25,57
2025-06-01,59
2025-06-08,65
2025-06-15,71
2025-06-22,64
2025-06-29,73
2025-07-06,77
2025-07-13,67
2025-07-20,73
2025-07-27,75
2025-08-03,86
2025-08-10,84
2025-08-17,89
2025-08-24,80
2025-08-31,88
2025-09-07,76
2025-09-14,90
2025-09-21,100
2025-09-28,86
2025-10-05,71
2025-10-12,60
2025-10-19,57
