Category: All categories

Week,Fabletics: (United States)
2020-10-18,2
2020-10-25,1
2020-11-01,2
2020-11-08,3
2020-11-15,5
2020-11-22,41
2020-11-29,41
2020-12-06,20
2020-12-13,29
2020-12-20,24
2020-12-27,41
2021-01-03,24
2021-01-10,1
2021-01-17,1
2021-01-24,1
2021-01-31,1
2021-02-07,1
2021-02-14,1
2021-02-21,1
2021-02-28,1
2021-03-07,1
2021-03-14,1
2021-03-21,1
2021-03-28,2
2021-04-04,2
2021-04-11,2
2021-04-18,1
2021-04-25,1
2021-05-02,1
2021-05-09,1
2021-05-16,1
2021-05-23,1
2021-05-30,1
2021-06-06,1
2021-06-13,1
2021-06-20,1
2021-06-27,1
2021-07-04,1
2021-07-11,1
2021-07-18,2
2021-07-25,1
2021-08-01,1
2021-08-08,1
2021-08-15,1
2021-08-22,1
2021-08-29,1
2021-09-05,1
2021-09-12,1
2021-09-19,2
2021-09-26,3
2021-10-03,4
2021-10-10,4
2021-10-17,4
2021-10-24,3
2021-10-31,5
2021-11-07,5
2021-11-14,7
2021-11-21,14
2021-11-28,14
2021-12-05,8
2021-12-12,5
2021-12-19,5
2021-12-26,6
2022-01-02,7
2022-01-09,10
2022-01-16,9
2022-01-23,6
2022-01-30,18
2022-02-06,35
2022-02-13,36
2022-02-20,38
2022-02-27,64
2022-03-06,43
2022-03-13,36
2022-03-20,39
2022-03-27,53
2022-04-03,56
2022-04-10,40
2022-04-17,32
2022-04-24,33
2022-05-01,59
2022-05-08,36
2022-05-15,36
2022-05-22,37
2022-05-29,70
2022-06-05,49
2022-06-12,40
2022-06-19,39
2022-06-26,49
2022-07-03,59
2022-07-10,40
2022-07-17,34
2022-07-24,34
2022-07-31,66
2022-08-07,38
2022-08-14,34
2022-08-21,31
2022-08-28,59
2022-09-04,47
2022-09-11,33
2022-09-18,28
2022-09-25,35
2022-10-02,54
2022-10-09,37
2022-10-16,31
2022-10-23,29
2022-10-30,60
2022-11-06,40
2022-11-13,41
2022-11-20,75
2022-11-27,69
2022-12-04,51
2022-12-11,41
2022-12-18,29
2022-12-25,42
2023-01-01,67
2023-01-08,41
2023-01-15,38
2023-01-22,38
2023-01-29,62
2023-02-05,42
2023-02-12,36
2023-02-19,60
2023-02-26,63
2023-03-05,51
2023-03-12,39
2023-03-19,36
2023-03-26,40
2023-04-02,64
2023-04-09,44
2023-04-16,39
2023-04-23,35
2023-04-30,61
2023-05-07,43
2023-05-14,42
2023-05-21,42
2023-05-28,69
2023-06-04,52
2023-06-11,43
2023-06-18,37
2023-06-25,46
2023-07-02,70
2023-07-09,43
2023-07-16,39
2023-07-23,36
2023-07-30,61
2023-08-06,49
2023-08-13,40
2023-08-20,31
2023-08-27,44
2023-09-03,58
2023-09-10,39
2023-09-17,33
2023-09-24,32
2023-10-01,52
2023-10-08,36
2023-10-15,36
2023-10-22,32
2023-10-29,54
2023-11-05,50
2023-11-12,52
2023-11-19,100
2023-11-26,76
2023-12-03,63
2023-12-10,49
2023-12-17,39
2023-12-24,42
2023-12-31,70
2024-01-07,46
2024-01-14,37
2024-01-21,36
2024-01-28,54
2024-02-04,47
2024-02-11,35
2024-02-18,40
2024-02-25,52
2024-03-03,55
2024-03-10,43
2024-03-17,38
2024-03-24,36
2024-03-31,66
2024-04-07,42
2024-04-14,43
2024-04-21,39
2024-04-28,59
2024-05-05,53
2024-05-12,40
2024-05-19,41
2024-05-26,48
2024-06-02,62
2024-06-09,43
2024-06-16,42
2024-06-23,38
2024-06-30,67
2024-07-07,54
2024-07-14,42
2024-07-21,37
2024-07-28,61
2024-08-04,57
2024-08-11,44
2024-08-18,44
2024-08-25,40
2024-09-01,69
2024-09-08,39
2024-09-15,37
2024-09-22,33
2024-09-29,54
2024-10-06,40
2024-10-13,39
2024-10-20,44
2024-10-27,48
2024-11-03,62
2024-11-10,53
2024-11-17,57
2024-11-24,97
2024-12-01,95
2024-12-08,55
2024-12-15,48
2024-12-22,47
2024-12-29,71
2025-01-05,55
2025-01-12,45
2025-01-19,37
2025-01-26,48
2025-02-02,59
2025-02-09,42
2025-02-16,43
2025-02-23,46
2025-03-02,56
2025-03-09,43
2025-03-16,40
2025-03-23,41
2025-03-30,64
2025-04-06,54
2025-04-13,43
2025-04-20,41
2025-04-27,62
2025-05-04,66
2025-05-11,49
2025-05-18,45
2025-05-25,42
2025-06-01,70
2025-06-08,50
2025-06-15,42
2025-06-22,39
2025-06-29,66
2025-07-06,51
2025-07-13,50
2025-07-20,46
2025-07-27,59
2025-08-03,65
2025-08-10,52
2025-08-17,43
2025-08-24,39
2025-08-31,71
2025-09-07,42
2025-09-14,36
2025-09-21,34
2025-09-28,55
2025-10-05,52
2025-10-12,51
2025-10-19,50
