Category: All categories

Week,SKIMS: (United States)
2020-10-18,0
2020-10-25,0
2020-11-01,0
2020-11-08,0
2020-11-15,0
2020-11-22,0
2020-11-29,0
2020-12-06,0
2020-12-13,0
2020-12-20,0
2020-12-27,0
2021-01-03,0
2021-01-10,0
2021-01-17,0
2021-01-24,0
2021-01-31,0
2021-02-07,0
2021-02-14,0
2021-02-21,0
2021-02-28,0
2021-03-07,0
2021-03-14,<1
2021-03-21,0
2021-03-28,0
2021-04-04,0
2021-04-11,0
2021-04-18,0
2021-04-25,0
2021-05-02,0
2021-05-09,0
2021-05-16,0
2021-05-23,0
2021-05-30,<1
2021-06-06,2
2021-06-13,3
2021-06-20,2
2021-06-27,2
2021-07-04,2
2021-07-11,4
2021-07-18,3
2021-07-25,3
2021-08-01,2
2021-08-08,1
2021-08-15,<1
2021-08-22,<1
2021-08-29,1
2021-09-05,<1
2021-09-12,<1
2021-09-19,4
2021-09-26,8
2021-10-03,8
2021-10-10,9
2021-10-17,7
2021-10-24,11
2021-10-31,9
2021-11-07,13
2021-11-14,12
2021-11-21,27
2021-11-28,14
2021-12-05,12
2021-12-12,12
2021-12-19,14
2021-12-26,16
2022-01-02,14
2022-01-09,14
2022-01-16,12
2022-01-23,12
2022-01-30,15
2022-02-06,13
2022-02-13,9
2022-02-20,18
2022-02-27,18
2022-03-06,20
2022-03-13,28
2022-03-20,25
2022-03-27,21
2022-04-03,28
2022-04-10,28
2022-04-17,26
2022-04-24,26
2022-05-01,22
2022-05-08,27
2022-05-15,26
2022-05-22,37
2022-05-29,28
2022-06-05,25
2022-06-12,29
2022-06-19,41
2022-06-26,51
2022-07-03,33
2022-07-10,29
2022-07-17,27
2022-07-24,28
2022-07-31,34
2022-08-07,31
2022-08-14,28
2022-08-21,27
2022-08-28,25
2022-09-04,19
2022-09-11,2
2022-09-18,10
2022-09-25,11
2022-10-02,15
2022-10-09,24
2022-10-16,8
2022-10-23,13
2022-10-30,19
2022-11-06,7
2022-11-13,10
2022-11-20,48
2022-11-27,34
2022-12-04,2
2022-12-11,3
2022-12-18,2
2022-12-25,2
2023-01-01,1
2023-01-08,1
2023-01-15,1
2023-01-22,5
2023-01-29,2
2023-02-05,2
2023-02-12,2
2023-02-19,2
2023-02-26,2
2023-03-05,10
2023-03-12,17
2023-03-19,22
2023-03-26,17
2023-04-02,15
2023-04-09,15
2023-04-16,17
2023-04-23,24
2023-04-30,20
2023-05-07,19
2023-05-14,27
2023-05-21,53
2023-05-28,26
2023-06-04,22
2023-06-11,21
2023-06-18,22
2023-06-25,22
2023-07-02,23
2023-07-09,21
2023-07-16,26
2023-07-23,22
2023-07-30,26
2023-08-06,20
2023-08-13,12
2023-08-20,<1
2023-08-27,<1
2023-09-03,<1
2023-09-10,<1
2023-09-17,<1
2023-09-24,<1
2023-10-01,<1
2023-10-08,<1
2023-10-15,<1
2023-10-22,2
2023-10-29,2
2023-11-05,1
2023-11-12,<1
2023-11-19,<1
2023-11-26,1
2023-12-03,1
2023-12-10,1
2023-12-17,31
2023-12-24,40
2023-12-31,28
2024-01-07,29
2024-01-14,37
2024-01-21,57
2024-01-28,38
2024-02-04,39
2024-02-11,15
2024-02-18,1
2024-02-25,11
2024-03-03,32
2024-03-10,35
2024-03-17,27
2024-03-24,32
2024-03-31,31
2024-04-07,25
2024-04-14,24
2024-04-21,1
2024-04-28,2
2024-05-05,18
2024-05-12,17
2024-05-19,4
2024-05-26,1
2024-06-02,13
2024-06-09,27
2024-06-16,21
2024-06-23,1
2024-06-30,1
2024-07-07,1
2024-07-14,1
2024-07-21,1
2024-07-28,1
2024-08-04,6
2024-08-11,19
2024-08-18,23
2024-08-25,23
2024-09-01,19
2024-09-08,15
2024-09-15,10
2024-09-22,19
2024-09-29,18
2024-10-06,3
2024-10-13,7
2024-10-20,24
2024-10-27,27
2024-11-03,32
2024-11-10,47
2024-11-17,15
2024-11-24,2
2024-12-01,2
2024-12-08,2
2024-12-15,2
2024-12-22,3
2024-12-29,2
2025-01-05,1
2025-01-12,1
2025-01-19,1
2025-01-26,1
2025-02-02,1
2025-02-09,1
2025-02-16,2
2025-02-23,1
2025-03-02,1
2025-03-09,5
2025-03-16,24
2025-03-23,24
2025-03-30,25
2025-04-06,23
2025-04-13,23
2025-04-20,20
2025-04-27,3
2025-05-04,1
2025-05-11,1
2025-05-18,1
2025-05-25,1
2025-06-01,1
2025-06-08,1
2025-06-15,2
2025-06-22,1
2025-06-29,1
2025-07-06,1
2025-07-13,2
2025-07-20,2
2025-07-27,7
2025-08-03,25
2025-08-10,13
2025-08-17,22
2025-08-24,23
2025-08-31,19
2025-09-07,15
2025-09-14,20
2025-09-21,28
2025-09-28,25
2025-10-05,24
2025-10-12,100
2025-10-19,52
